accountid,customerid,branchid,accountnumber,accounttype,opendate,balance,status
1,57,4,EG100000001,Fixed Deposit,2018-10-20,206941.1,Closed
2,27,2,EG100000002,Business,2019-10-15,78474.63,Active
3,24,3,EG100000003,Fixed Deposit,2015-10-02,23260.58,Active
4,6,7,EG100000004,Savings,2023-05-08,184829.6,Active
5,36,1,EG100000005,Business,2022-07-07,30996.71,Active
6,56,7,EG100000006,Savings,2025-11-10,72263.54,Active
7,23,2,EG100000007,Checking,2016-09-25,164355.71,Active
8,55,2,EG100000008,Business,2024-06-24,139288.24,Active
9,49,5,EG100000009,Checking,2024-01-20,107563.55,Suspended
10,50,1,EG100000010,Business,2015-04-29,45513.81,Active
11,59,6,EG100000011,Business,2015-01-26,45760.69,Active
12,37,7,EG100000012,Savings,2016-08-04,185371.78,Active
13,6,4,EG100000013,Fixed Deposit,2019-09-16,113684.62,Active
14,24,5,EG100000014,Business,2023-09-17,235381.15,Suspended
15,6,1,EG100000015,Checking,2016-10-06,188731.75,Active
16,44,2,EG100000016,Business,2019-12-20,165653.7,Closed
17,39,8,EG100000017,Fixed Deposit,2018-01-23,54284.46,Suspended
18,8,6,EG100000018,Fixed Deposit,2016-03-30,71169.99,Suspended
19,32,5,EG100000019,Savings,2017-06-22,99118.22,Suspended
20,4,1,EG100000020,Checking,2018-05-19,236358.36,Active
21,49,5,EG100000021,Business,2018-09-05,30436.09,Closed
22,48,7,EG100000022,Checking,2016-06-13,95361.76,Active
23,33,6,EG100000023,Savings,2019-06-15,215510.21,Active
24,28,1,EG100000024,Fixed Deposit,2025-05-01,19926.72,Active
25,37,7,EG100000025,Fixed Deposit,2022-12-16,160215.35,Active
26,8,7,EG100000026,Savings,2025-11-01,81529.66,Suspended
27,30,6,EG100000027,Savings,2019-11-24,211198.85,Active
28,28,7,EG100000028,Savings,2019-06-10,217695.84,Active
29,15,6,EG100000029,Checking,2015-11-09,127865.58,Active
30,34,4,EG100000030,Business,2018-12-09,181981.09,Active
31,16,2,EG100000031,Checking,2017-11-14,49719.31,Suspended
32,10,2,EG100000032,Checking,2025-09-01,193325.6,Closed
33,30,8,EG100000033,Business,2024-09-09,242757.78,Active
34,10,8,EG100000034,Savings,2020-04-04,110830.91,Active
35,51,5,EG100000035,Savings,2018-12-12,127080.55,Active
36,30,8,EG100000036,Savings,2015-08-22,92500.03,Active
37,5,2,EG100000037,Fixed Deposit,2020-03-10,145292.19,Active
38,29,4,EG100000038,Business,2021-10-14,119169.44,Active
39,4,8,EG100000039,Savings,2024-02-04,224832.15,Active
40,46,2,EG100000040,Checking,2015-06-10,62312.06,Closed
41,29,3,EG100000041,Business,2019-03-08,229525.23,Closed
42,27,6,EG100000042,Savings,2023-11-07,157906.2,Active
43,5,6,EG100000043,Savings,2021-04-04,169755.65,Active
44,17,3,EG100000044,Business,2015-11-30,145893.51,Active
45,59,6,EG100000045,Business,2025-11-07,164185.65,Closed
46,9,2,EG100000046,Business,2021-04-08,94481.49,Active
47,53,3,EG100000047,Savings,2022-03-31,167778.78,Suspended
48,24,1,EG100000048,Business,2018-06-19,45475.6,Active
49,22,8,EG100000049,Checking,2017-07-16,249994.17,Active
50,5,5,EG100000050,Savings,2020-09-10,192833.24,Suspended
51,3,6,EG100000051,Checking,2021-09-12,94491.61,Active
52,12,3,EG100000052,Fixed Deposit,2015-06-28,103009.22,Active
53,29,5,EG100000053,Fixed Deposit,2017-08-16,133735.78,Active
54,52,8,EG100000054,Checking,2019-02-15,169737.55,Suspended
55,29,8,EG100000055,Business,2023-09-23,95777.17,Suspended
56,27,3,EG100000056,Checking,2023-12-26,151363.53,Active
57,4,8,EG100000057,Business,2021-03-21,233606.24,Suspended
58,55,2,EG100000058,Business,2015-12-10,190897.65,Active
59,29,3,EG100000059,Fixed Deposit,2016-01-11,236630.11,Active
60,53,8,EG100000060,Business,2025-06-08,7154.21,Active
61,26,6,EG100000061,Checking,2019-05-01,248634.08,Active
62,15,1,EG100000062,Business,2025-06-09,25221.24,Active
63,51,3,EG100000063,Checking,2015-06-06,72076.41,Closed
64,45,3,EG100000064,Fixed Deposit,2020-01-12,154029.39,Active
65,2,5,EG100000065,Checking,2024-05-13,37805.14,Suspended
66,34,7,EG100000066,Savings,2023-09-15,72381.34,Active
67,8,1,EG100000067,Checking,2019-09-16,159918.46,Suspended
68,30,2,EG100000068,Savings,2024-05-20,226334.15,Suspended
69,35,1,EG100000069,Checking,2023-01-22,36322.42,Closed
70,1,6,EG100000070,Checking,2021-05-26,104433.62,Active
71,34,6,EG100000071,Savings,2025-09-10,131751.83,Suspended
72,51,1,EG100000072,Fixed Deposit,2024-10-17,117798.7,Closed
73,24,5,EG100000073,Savings,2019-01-02,197235.74,Active
74,16,2,EG100000074,Business,2016-06-30,11561.75,Suspended
75,22,3,EG100000075,Fixed Deposit,2025-12-31,173999.62,Active
76,52,3,EG100000076,Savings,2023-01-11,194159.5,Closed
77,3,5,EG100000077,Checking,2015-06-29,197881.75,Active
78,21,5,EG100000078,Fixed Deposit,2024-02-22,135986.16,Active
79,3,4,EG100000079,Business,2019-01-02,215603.56,Active
80,56,6,EG100000080,Business,2016-05-24,199935.93,Closed
