cardid,customerid,cardnumber,cardtype,issuedate,expirydate,creditlimit,status
1,49,9462 7126 1920 9442,Visa,2023-06-08,2027-06-08,10000.0,Blocked
2,26,3222 9589 1474 3846,Visa,2023-09-07,2027-09-07,20000.0,Active
3,3,8478 1828 6904 4262,MasterCard,2020-10-18,2024-10-18,30000.0,Expired
4,26,3029 1500 4963 7102,MasterCard,2023-08-31,2027-08-31,75000.0,Expired
5,56,8775 6730 6640 3679,MasterCard,2019-12-29,2023-12-29,10000.0,Blocked
6,25,1813 3669 4511 4626,Meeza,2018-04-23,2022-04-23,20000.0,Active
7,42,7709 9409 1328 1145,MasterCard,2021-01-07,2025-01-07,20000.0,Active
8,52,1138 4666 5135 6004,Meeza,2024-09-28,2028-09-28,30000.0,Expired
9,55,6713 8520 5128 4575,MasterCard,2022-03-23,2026-03-23,30000.0,Expired
10,7,1120 9380 7131 5631,MasterCard,2024-07-22,2028-07-22,10000.0,Expired
11,22,5529 6327 5536 5278,Meeza,2018-09-19,2022-09-19,30000.0,Active
12,34,4937 1930 7620 6236,Meeza,2019-09-07,2023-09-07,20000.0,Active
13,19,5250 7857 7628 7361,Meeza,2023-07-31,2027-07-31,10000.0,Active
14,47,4643 9759 8794 6873,Meeza,2021-11-06,2025-11-06,30000.0,Active
15,12,5813 2599 8713 3096,Meeza,2024-04-05,2028-04-05,30000.0,Active
16,42,2463 4641 6820 4659,Meeza,2021-10-06,2025-10-06,30000.0,Expired
17,24,5269 5817 8598 2929,MasterCard,2021-09-19,2025-09-19,10000.0,Active
18,57,4187 9199 2963 7253,Meeza,2023-04-19,2027-04-19,30000.0,Expired
19,56,3470 3250 4281 6614,MasterCard,2018-08-10,2022-08-10,75000.0,Expired
20,21,3954 2324 8988 6449,Meeza,2019-08-10,2023-08-10,20000.0,Blocked
21,1,8406 5481 4430 3762,Meeza,2018-08-26,2022-08-26,20000.0,Expired
22,9,8105 8035 7609 8029,MasterCard,2018-12-27,2022-12-27,50000.0,Active
23,35,4267 7112 1230 6279,Meeza,2018-06-04,2022-06-04,20000.0,Active
24,41,5076 4707 6641 6113,Visa,2018-01-17,2022-01-17,10000.0,Expired
25,38,6015 3736 2069 1749,MasterCard,2023-08-24,2027-08-24,30000.0,Expired
26,39,9587 6535 8105 3192,MasterCard,2023-11-02,2027-11-02,50000.0,Blocked
27,11,7609 1313 4742 4675,Meeza,2020-02-11,2024-02-11,20000.0,Active
28,38,9267 3768 3017 7006,Meeza,2018-03-31,2022-03-31,10000.0,Expired
29,50,9761 1796 1785 2771,Meeza,2020-11-13,2024-11-13,10000.0,Active
30,27,8279 7230 3024 9966,MasterCard,2019-04-20,2023-04-20,50000.0,Active
31,45,1152 5933 7895 2654,Meeza,2020-04-21,2024-04-21,75000.0,Blocked
32,39,3247 7862 2718 9381,Meeza,2024-12-25,2028-12-25,75000.0,Active
33,8,2741 9154 4254 4272,MasterCard,2021-03-03,2025-03-03,75000.0,Active
34,46,7713 5839 3627 1645,Meeza,2022-01-06,2026-01-06,50000.0,Active
35,22,4842 1044 1208 2458,Visa,2023-05-23,2027-05-23,75000.0,Expired
36,6,9383 2229 2659 5192,Meeza,2019-09-03,2023-09-03,20000.0,Expired
37,17,8606 1820 2635 3862,Visa,2021-04-27,2025-04-27,30000.0,Blocked
38,28,2898 2556 1751 1158,Visa,2021-07-04,2025-07-04,20000.0,Blocked
39,58,8171 5395 2522 7105,MasterCard,2022-01-04,2026-01-04,20000.0,Active
40,26,8479 5453 7319 8835,MasterCard,2022-06-30,2026-06-30,20000.0,Active
