"beneficiaryid","customerid","customername","accountnumber","bankname","relationship","status"
1,47,"Omar Nabil","EG200000001","NBE","Friend","Active"
2,38,"Aya Gaber","EG200000002","Banque Misr","Colleague","Inactive"
3,25,"Ali Ezzat","EG200000003","QNB","Colleague","Active"
4,59,"Omar Kamal","EG200000004","Banque Misr","Family","Inactive"
5,5,"Salma Hassan","EG200000005","QNB","Business Partner","Active"
6,48,"Heba Farouk","EG200000006","AAIB","Colleague","Active"
7,34,"Sara Adel","EG200000007","HSBC Egypt","Colleague","Active"
8,47,"Aya Sherif","EG200000008","CIB","Spouse","Inactive"
9,54,"Nourhan Mostafa","EG200000009","AAIB","Colleague","Active"
10,60,"Ahmed Sherif","EG200000010","CIB","Colleague","Inactive"
11,11,"Yasmin Ashraf","EG200000011","NBE","Spouse","Inactive"
12,18,"Amr Sayed","EG200000012","NBE","Colleague","Active"
13,25,"Dina Sherif","EG200000013","Banque Misr","Friend","Active"
14,52,"Salma Kamal","EG200000014","AAIB","Spouse","Active"
15,21,"Yasmin Kamal","EG200000015","NBE","Spouse","Active"
16,27,"Youssef Fathy","EG200000016","NBE","Colleague","Active"
17,39,"Mahmoud Farouk","EG200000017","AAIB","Business Partner","Active"
18,24,"Salma Sayed","EG200000018","NBE","Friend","Inactive"
19,50,"Sara Adel","EG200000019","AAIB","Colleague","Inactive"
20,29,"Mona Nabil","EG200000020","NBE","Family","Active"
21,23,"Ahmed Sayed","EG200000021","HSBC Egypt","Business Partner","Inactive"
22,58,"Youssef Hassan","EG200000022","CIB","Spouse","Active"
23,17,"Aya Ibrahim","EG200000023","AAIB","Friend","Active"
24,55,"Youssef Gaber","EG200000024","Banque Misr","Friend","Inactive"
25,22,"Khaled Nabil","EG200000025","NBE","Spouse","Active"
26,50,"Rania Ibrahim","EG200000026","Banque Misr","Spouse","Active"
27,34,"Yasmin Hassan","EG200000027","HSBC Egypt","Family","Inactive"
28,60,"Rania Kamal","EG200000028","AAIB","Friend","Active"
29,25,"Omar Ibrahim","EG200000029","HSBC Egypt","Colleague","Inactive"
30,25,"Heba Gaber","EG200000030","Banque Misr","Colleague","Active"
31,22,"Karim Fathy","EG200000031","QNB","Spouse","Active"
32,39,"Omar Fathy","EG200000032","HSBC Egypt","Colleague","Inactive"
33,21,"Dina Ashraf","EG200000033","HSBC Egypt","Colleague","Active"
34,40,"Khaled Ali","EG200000034","HSBC Egypt","Business Partner","Inactive"
35,42,"Omar Nabil","EG200000035","CIB","Colleague","Inactive"
