"accountkey","accountid","accountnumber","accounttype","opendate","status"
1,1,"EG100000001","Fixed Deposit","2018-10-20","Closed"
2,2,"EG100000002","Business","2019-10-15","Active"
3,3,"EG100000003","Fixed Deposit","2015-10-02","Active"
4,4,"EG100000004","Savings","2023-05-08","Active"
5,5,"EG100000005","Business","2022-07-07","Active"
6,6,"EG100000006","Savings","2025-11-10","Active"
7,7,"EG100000007","Checking","2016-09-25","Active"
8,8,"EG100000008","Business","2024-06-24","Active"
9,9,"EG100000009","Checking","2024-01-20","Suspended"
10,10,"EG100000010","Business","2015-04-29","Active"
11,11,"EG100000011","Business","2015-01-26","Active"
12,12,"EG100000012","Savings","2016-08-04","Active"
13,13,"EG100000013","Fixed Deposit","2019-09-16","Active"
14,14,"EG100000014","Business","2023-09-17","Suspended"
15,15,"EG100000015","Checking","2016-10-06","Active"
16,16,"EG100000016","Business","2019-12-20","Closed"
17,17,"EG100000017","Fixed Deposit","2018-01-23","Suspended"
18,18,"EG100000018","Fixed Deposit","2016-03-30","Suspended"
19,19,"EG100000019","Savings","2017-06-22","Suspended"
20,20,"EG100000020","Checking","2018-05-19","Active"
21,21,"EG100000021","Business","2018-09-05","Closed"
22,22,"EG100000022","Checking","2016-06-13","Active"
23,23,"EG100000023","Savings","2019-06-15","Active"
24,24,"EG100000024","Fixed Deposit","2025-05-01","Active"
25,25,"EG100000025","Fixed Deposit","2022-12-16","Active"
26,26,"EG100000026","Savings","2025-11-01","Suspended"
27,27,"EG100000027","Savings","2019-11-24","Active"
28,28,"EG100000028","Savings","2019-06-10","Active"
29,29,"EG100000029","Checking","2015-11-09","Active"
30,30,"EG100000030","Business","2018-12-09","Active"
31,31,"EG100000031","Checking","2017-11-14","Suspended"
32,32,"EG100000032","Checking","2025-09-01","Closed"
33,33,"EG100000033","Business","2024-09-09","Active"
34,34,"EG100000034","Savings","2020-04-04","Active"
35,35,"EG100000035","Savings","2018-12-12","Active"
36,36,"EG100000036","Savings","2015-08-22","Active"
37,37,"EG100000037","Fixed Deposit","2020-03-10","Active"
38,38,"EG100000038","Business","2021-10-14","Active"
39,39,"EG100000039","Savings","2024-02-04","Active"
40,40,"EG100000040","Checking","2015-06-10","Closed"
41,41,"EG100000041","Business","2019-03-08","Closed"
42,42,"EG100000042","Savings","2023-11-07","Active"
43,43,"EG100000043","Savings","2021-04-04","Active"
44,44,"EG100000044","Business","2015-11-30","Active"
45,45,"EG100000045","Business","2025-11-07","Closed"
46,46,"EG100000046","Business","2021-04-08","Active"
47,47,"EG100000047","Savings","2022-03-31","Suspended"
48,48,"EG100000048","Business","2018-06-19","Active"
49,49,"EG100000049","Checking","2017-07-16","Active"
50,50,"EG100000050","Savings","2020-09-10","Suspended"
51,51,"EG100000051","Checking","2021-09-12","Active"
52,52,"EG100000052","Fixed Deposit","2015-06-28","Active"
53,53,"EG100000053","Fixed Deposit","2017-08-16","Active"
54,54,"EG100000054","Checking","2019-02-15","Suspended"
55,55,"EG100000055","Business","2023-09-23","Suspended"
56,56,"EG100000056","Checking","2023-12-26","Active"
57,57,"EG100000057","Business","2021-03-21","Suspended"
58,58,"EG100000058","Business","2015-12-10","Active"
59,59,"EG100000059","Fixed Deposit","2016-01-11","Active"
60,60,"EG100000060","Business","2025-06-08","Active"
61,61,"EG100000061","Checking","2019-05-01","Active"
62,62,"EG100000062","Business","2025-06-09","Active"
63,63,"EG100000063","Checking","2015-06-06","Closed"
64,64,"EG100000064","Fixed Deposit","2020-01-12","Active"
65,65,"EG100000065","Checking","2024-05-13","Suspended"
66,66,"EG100000066","Savings","2023-09-15","Active"
67,67,"EG100000067","Checking","2019-09-16","Suspended"
68,68,"EG100000068","Savings","2024-05-20","Suspended"
69,69,"EG100000069","Checking","2023-01-22","Closed"
70,70,"EG100000070","Checking","2021-05-26","Active"
71,71,"EG100000071","Savings","2025-09-10","Suspended"
72,72,"EG100000072","Fixed Deposit","2024-10-17","Closed"
73,73,"EG100000073","Savings","2019-01-02","Active"
74,74,"EG100000074","Business","2016-06-30","Suspended"
75,75,"EG100000075","Fixed Deposit","2025-12-31","Active"
76,76,"EG100000076","Savings","2023-01-11","Closed"
77,77,"EG100000077","Checking","2015-06-29","Active"
78,78,"EG100000078","Fixed Deposit","2024-02-22","Active"
79,79,"EG100000079","Business","2019-01-02","Active"
80,80,"EG100000080","Business","2016-05-24","Closed"
